Id,SalePrice
1461,121798.6845046093
1462,159217.75519798897
1463,170581.9691172164
1464,197353.92372320694
1465,195658.506317525
1466,170243.49722648846
1467,177459.76921949114
1468,161165.4896339065
1469,192454.77204869795
1470,118862.59213162052
1471,195700.2344885309
1472,102744.202547362
1473,99135.87833067495
1474,146729.40560295587
1475,121048.25271747314
1476,354699.02178341703
1477,256030.02338108298
1478,283519.3727367403
1479,268408.66104127537
1480,523596.93377747555
1481,335306.23614148254
1482,207900.50750224388
1483,179228.95654941766
1484,168594.14005846364
1485,188464.68802415277
1486,195861.71574370068
1487,324944.6773738959
1488,233356.60496876235
1489,191544.65817671633
1490,239107.44365736435
1491,194147.3734954169
1492,92372.92694086304
1493,181849.1929883694
1494,285992.9038296219
1495,280394.54501815676
1496,232478.57910438746
1497,179223.82657065205
1498,166769.6730987944
1499,168497.8341126481
1500,159289.3655008947
1501,175267.5618685116
1502,158820.52453693378
1503,267730.64971468126
1504,246290.73319612755
1505,230290.4354123386
1506,190299.6811840545
1507,255282.43206029868
1508,200699.79920143285
1509,157376.45552941953
1510,142539.9203518295
1511,150301.490497248
1512,176192.9287768998
1513,145609.6671040042
1514,127514.23041655851
1515,189623.3111247677
1516,150343.1080281475
1517,165725.97508010222
1518,137169.06343874524
1519,217019.66049523267
1520,127463.31105077275
1521,128541.9246933152
1522,179438.96662232434
1523,106589.28156950726
1524,117684.86810451302
1525,123084.27510250037
1526,115321.26168671946
1527,111213.51979306953
1528,136309.43159931578
1529,144397.15965136403
1530,203152.97799437583
1531,118428.4560280254
1532,79733.60201866359
1533,156976.14158239504
1534,126882.31102094198
1535,143487.81573407233
1536,109089.60635184844
1537,67118.81192103804
1538,155261.89446861882
1539,196540.18139828148
1540,90324.78752721805
1541,139064.35897827905
1542,132599.15865433123
1543,178970.03915222123
1544,87590.8556452474
1545,120438.20534112863
1546,139691.74651303247
1547,131267.28555720294
1548,134419.29879077093
1549,126302.11979426935
1550,130971.07189460474
1551,109758.04407691995
1552,140843.62272808512
1553,119562.37206946909
1554,123609.83720076257
1555,156883.7949482518
1556,84709.92783995396
1557,83340.86741799684
1558,100752.70648409401
1559,66831.6134169871
1560,131409.9446284076
1561,98929.01351239861
1562,131673.50297216207
1563,118555.49620603198
1564,160541.6356431634
1565,142726.04887400215
1566,230485.52108765295
1567,81507.65986304235
1568,234536.6386727168
1569,124573.00580091456
1570,141543.67638888917
1571,117700.22246951568
1572,140666.30692271003
1573,227767.68290258374
1574,118372.75572367663
1575,245111.95677703558
1576,264293.47378579667
1577,179145.0616179047
1578,142839.24697054885
1579,140084.8226133701
1580,191193.03897707324
1581,144295.1038489994
1582,125442.04664190994
1583,298292.32199365745
1584,228615.60323092324
1585,145358.8273891582
1586,65083.0313936019
1587,104250.41426196983
1588,147813.40300242303
1589,94825.87272144
1590,132838.28951025932
1591,72462.61157737537
1592,103156.87780870174
1593,124440.46466422055
1594,100562.58361270343
1595,87787.1586793097
1596,232966.75904165275
1597,197982.22759211622
